author,commits,prs,comments,reviews,raw_score,score,tier,overall_rank,tier_rank,percentile
aneesh-joseph,0,14,56,0,252,100,active,266,11,96.9
ffinfo,0,25,0,0,250,100,core,267,255,96.86
wjddn279,0,21,20,0,250,100,core,267,255,96.86
pgagnon,0,20,25,0,250,100,core,267,255,96.86
casassg,0,4,105,0,250,100,contributor,267,1,96.86
drdenzy,0,21,20,0,250,100,core,267,255,96.86
tatiana,0,10,69,3,247,100,active,272,12,96.83
mingdaoy,16,16,3,0,246,100,core,273,259,96.81
Dov Benyomin Sohacheski,49,0,0,0,245,100,core,274,260,96.8
howardyoo,0,10,72,0,244,100,active,275,13,96.78
prdai,0,11,67,0,244,100,active,275,13,96.78
kosteev,0,10,72,0,244,100,active,275,13,96.78
dolfinus,0,20,20,0,240,100,core,278,261,96.75
boraberke,0,21,11,0,232,100,core,279,262,96.74
dhuang,0,22,6,0,232,100,core,279,262,96.74
Chao-Han Tsai,46,0,0,0,230,100,core,281,264,96.7
Jiajie Zhong,46,0,0,0,230,100,core,281,264,96.7
Dmytro Kazanzhy,46,0,0,0,230,100,core,281,264,96.7
chethanuk-plutoflume,46,0,0,0,230,100,core,281,264,96.7
Alex Guziel,46,0,0,0,230,100,core,281,264,96.7
rootcss,0,17,28,0,226,100,active,286,16,96.66
kandharvishnu,9,16,10,0,225,100,core,287,269,96.65
wojsamjan,0,20,11,0,222,100,core,288,270,96.63
github-advanced-security[bot],0,0,111,0,222,100,observer,288,2,96.63
seanghaeli,0,18,21,0,222,100,active,288,17,96.63
QP Hou,44,0,0,0,220,100,core,291,271,96.59
ldct,0,22,0,0,220,100,core,291,271,96.59
Khalid Mammadov,44,0,0,0,220,100,core,291,271,96.59
Ryan Hatter,43,0,0,0,215,100,core,294,274,96.55
Malthe Borch,43,0,0,0,215,100,core,294,274,96.55
Tao Feng,43,0,0,0,215,100,core,294,274,96.55
Zhen-Lun (Kevin) Hong,43,0,0,0,215,100,core,294,274,96.55
justinpakzad,0,18,17,0,214,100,active,298,18,96.52
tanelk,0,15,31,0,212,100,active,299,19,96.5
mariotaddeucci,0,18,16,0,212,100,active,299,19,96.5
Michał Słowikowski,42,0,0,0,210,100,core,301,278,96.47
wrp,0,21,0,0,210,100,core,301,278,96.47
alexvanboxel,0,21,0,0,210,100,core,301,278,96.47
tedmiston,0,21,0,0,210,100,core,301,278,96.47
pawelgrochowicz,12,13,9,0,208,100,core,305,282,96.44
zachliu,0,15,27,0,204,100,active,306,21,96.42
seelmann,0,20,2,0,204,100,core,306,283,96.42
VBhojawala,0,16,22,0,204,100,active,306,21,96.42
Swalloow,4,15,16,0,202,100,active,309,23,96.39
davlum,5,11,33,0,201,100,active,310,24,96.38
Anusha Kovi,40,0,0,0,200,100,core,311,284,96.33
Ramit Kataria,40,0,0,0,200,100,core,311,284,96.33
ambika-garg,2,12,35,0,200,100,active,311,25,96.33
Henry Chen,40,0,0,0,200,100,core,311,284,96.33
gwax,0,20,0,0,200,100,core,311,284,96.33
astahlman,0,20,0,0,200,100,core,311,284,96.33
abridgett,0,20,0,0,200,100,core,311,284,96.33
leahecole,0,16,19,0,198,100,active,318,26,96.29
OmerJog,10,12,13,0,196,100,core,319,290,96.27
harishkrao,0,6,68,0,196,100,active,319,27,96.27
Beata Kossakowska,39,0,0,0,195,100,core,321,291,96.25
marcosmarxm,0,7,62,0,194,100,active,322,28,96.21
vemikhaylov,0,14,27,0,194,100,active,322,28,96.21
alexkruc,0,11,42,0,194,100,active,322,28,96.21
frankcash,0,16,17,0,194,100,active,322,28,96.21
mlgruby,0,15,22,0,194,100,active,322,28,96.21
michaelmicheal,0,16,17,0,194,100,active,322,28,96.21
zach-overflow,0,11,41,0,192,100,active,328,34,96.16
karunpoudel,10,12,11,0,192,100,core,328,292,96.16
avkirilishin,0,17,6,3,191,100,active,330,35,96.14
uzhastik,11,11,13,0,191,100,core,330,293,96.14
mustafagok,0,12,35,0,190,100,active,332,36,96.08
fenglu-db,0,19,0,0,190,100,active,332,36,96.08
fredthomsen,0,16,15,0,190,100,active,332,36,96.08
Pratiksha,38,0,0,0,190,100,core,332,294,96.08
Tao feng,38,0,0,0,190,100,core,332,294,96.08
gtoonstra,16,11,0,0,190,100,core,332,294,96.08
ishiis,10,11,15,0,190,100,core,332,294,96.08
KamranImaaz,0,16,15,0,190,100,active,332,36,96.08
RachitSharma2001,7,9,31,0,187,100,active,340,40,96.03
gyli,0,9,48,0,186,100,active,341,41,96.0
topherinternational,0,15,18,0,186,100,active,341,41,96.0
francescomucio,0,11,38,0,186,100,active,341,41,96.0
Srabasti,0,15,18,0,186,100,active,341,41,96.0
Ry Walker,37,0,0,0,185,100,core,345,298,95.97
deedmitrij,10,11,12,0,184,100,core,346,299,95.95
CYarros10,0,16,12,0,184,100,active,346,45,95.95
denimalpaca,0,12,32,0,184,100,active,346,45,95.95
Przemysław Mirowski,36,0,0,0,180,100,core,349,300,95.92
verdan,0,18,0,0,180,100,active,349,47,95.92
DjVinnii,0,15,14,0,178,100,active,351,48,95.89
simi,0,15,14,0,178,100,active,351,48,95.89
KatalKavya96,0,17,3,0,176,100,active,353,50,95.88
Nitochkin,35,0,0,0,175,100,core,354,301,95.86
Satoshi-Sh,0,13,14,5,173,100,active,355,51,95.85
FloChehab,1,14,14,0,173,100,active,355,51,95.85
arjunanan6,0,15,11,0,172,100,active,357,53,95.81
eskarimov,0,9,41,0,172,100,active,357,53,95.81
mjpieters,0,11,31,0,172,100,active,357,53,95.81
Pei-Cheng-Yu,0,11,31,0,172,100,active,357,53,95.81
olchas,0,8,46,0,172,100,active,357,53,95.81
Aaron Chen,34,0,0,0,170,100,core,362,302,95.74
edgarRd,0,17,0,0,170,100,active,362,58,95.74
dazza-codes,0,7,50,0,170,100,active,362,58,95.74
Victor Chiapaikeo,34,0,0,0,170,100,core,362,302,95.74
gmsantos,0,15,10,0,170,100,active,362,58,95.74
Tobiasz Kędzierski,34,0,0,0,170,100,core,362,302,95.74
Jake Roach,34,0,0,0,170,100,core,362,302,95.74
simonprydden,10,11,4,0,168,100,core,369,306,95.69
Khrol,0,14,13,0,166,100,active,370,61,95.67
jsjasonseba,0,14,13,0,166,100,active,370,61,95.67
Stanislav Kudriashev,33,0,0,0,165,100,core,372,307,95.64
Akash Sharma,33,0,0,0,165,100,core,372,307,95.64
Xch1,33,0,0,0,165,100,core,372,307,95.64
madison-ookla,0,12,22,0,164,100,active,375,63,95.6
Subham-KRLX,0,15,7,0,164,100,active,375,63,95.6
22quinn,0,13,17,0,164,100,active,375,63,95.6
anshuksi282-ksolves,2,12,17,0,164,100,active,375,63,95.6
mrkm4ntr,0,16,1,0,162,100,active,379,67,95.55
randr97,0,10,31,0,162,100,active,379,67,95.55
ms32035,0,14,11,0,162,100,active,379,67,95.55
arnoldmr01,6,8,26,0,162,100,active,379,67,95.55
alexbegg,0,12,21,0,162,100,active,379,67,95.55
pgvishnuram,8,10,10,0,160,100,active,384,72,95.48
patrickleotardif,0,16,0,0,160,100,active,384,72,95.48
Niko,32,0,0,0,160,100,core,384,310,95.48
Sebastian Daum,32,0,0,0,160,100,core,384,310,95.48
pavansharma36,0,13,15,0,160,100,active,384,72,95.48
andriisoldatenko,0,15,5,0,160,100,active,384,72,95.48
abhishekbhakat,0,13,15,0,160,100,active,384,72,95.48
chipmyersjr,9,9,12,0,159,100,active,391,77,95.43
ianbuss,0,9,34,0,158,100,active,392,78,95.41
edwardwang888,0,9,34,0,158,100,active,392,78,95.41
darkag,7,10,11,0,157,100,active,394,80,95.4
humit0,0,14,8,0,156,100,active,395,81,95.37
flolas,0,11,23,0,156,100,active,395,81,95.37
Melodie97,0,13,13,0,156,100,active,395,81,95.37
okirialbert,0,13,13,0,156,100,active,395,81,95.37
Łukasz Wyszomirski,31,0,0,0,155,100,core,399,312,95.33
mtustin-handy,9,11,0,0,155,100,core,399,312,95.33
anishgirianish,4,12,7,0,154,100,active,401,85,95.31
kurtqq,6,11,6,0,152,100,active,402,86,95.29
wolvery,0,11,21,0,152,100,active,402,86,95.29
aoelvp94,0,6,46,0,152,100,active,402,86,95.29
Kyungjun Lee,30,0,0,0,150,100,core,405,314,95.26
Bisk1,0,11,20,0,150,100,active,405,89,95.26
Ryan Yuan,30,0,0,0,150,100,core,405,314,95.26
retornam,7,9,12,0,149,100,active,408,90,95.23
Brunda10,3,10,16,0,147,100,active,409,91,95.22
dylanbstorey,0,6,43,0,146,100,active,410,92,95.2
mnojek,0,6,43,0,146,100,active,410,92,95.2
oscarhernandezrodriguez,0,0,73,0,146,100,observer,410,3,95.2
Felix,29,0,0,0,145,100,core,413,316,95.16
Xinbin Huang,29,0,0,0,145,100,core,413,316,95.16
Alex Ott,29,0,0,0,145,100,core,413,316,95.16
aaltay,0,1,67,0,144,100,contributor,416,2,95.13
